0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,6,0
0,9,0
0,11,0
0,15,0
0,19,0
0,24,0
0,29,0
0,35,0
0,41,0
0,48,0
0,55,0
0,63,0
0,72,0
0,81,0
0,90,0
0,100,0
0,110,0
0,120,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,130,0
0,140,0
0,150,0
0,160,0
0,170,0
0,180,0
0,189,0
0,198,0
0,207,0
0,216,0
0,224,0
0,233,0
0,242,0
0,251,0
0,260,0
0,270,0
0,280,0
0,290,0
0,300,0
0,310,0
0,310,0
0,320,0
0,330,0
0,340,0
0,350,0
0,360,0
0,369,0
0,378,0
0,387,0
0,396,0
0,404,0
0,413,0
0,422,0
0,431,0
0,440,0
0,450,0
0,460,0
0,470,0
0,480,0
0,490,0
0,490,0
0,500,0
0,510,0
0,520,0
0,530,0
0,540,0
0,549,0
0,558,0
0,567,0
0,576,0
0,584,0
0,593,0
0,602,0
0,611,0
0,620,0
0,630,0
0,640,0
0,650,0
0,660,0
0,670,0
0,670,0
0,680,0
0,690,0
0,700,0
0,710,0
0,720,0
0,729,0
0,738,0
0,747,0
0,756,0
0,764,0
0,773,0
0,782,0
0,791,0
0,800,0
0,810,0
0,820,0
0,830,0
0,840,0
0,850,0
0,860,0
0,870,0
0,880,0
0,890,0
0,900,0
0,909,0
0,918,0
0,927,0
0,936,0
0,944,0
0,953,0
0,962,0
0,971,0
0,980,0
0,990,0
0,1000,0
0,1010,0
0,1020,0
0,1030,0
0,1030,0
0,1040,0
0,1050,0
0,1060,0
0,1070,0
0,1080,0
0,1089,0
0,1098,0
0,1107,0
0,1116,0
0,1124,0
0,1133,0
0,1142,0
0,1151,0
0,1160,0
0,1170,0
0,1180,0
0,1190,0
0,1200,0
0,1210,0
0,1210,0
0,1210,0
1,1221,13
5,1232,26
11,1241,39
19,1249,51
